Term	Notes	English	Ukrainian
quest_greed_sawmill_text		Build a Sawmill	Побудувати лісопильню
quest_greed_smelter_text		Build a Smelter	Побудувати плавильню
quest_greed_stomping_vat_text		Build a Stomping Vat	Побудувати чавильний чан
quest_greed_wine_text		Make Wine from Grapes	Зробити вино з винограду
quest_greed_wool_text		Get Wool from a Sheep	Отримати шерсть з вівці
quest_happiness_admire_a_coin_text		Admire a Coin	Милуючись монетою
quest_happiness_all_packs_text		Unlock all Happiness Packs	Розблокуйте всі набори щастя
quest_happiness_bake_bread_text		Bake Bread	Спекти хліб
quest_happiness_bake_pizza_text		Make a Pizza	Створити піцу
quest_happiness_build_charity_text		Build a Charity	Побудувати благодійний фонд
quest_happiness_build_garden_text		Build a Garden	Побудувати сад
quest_happiness_build_museum_text		Build a Museum	Побудувати музей
quest_happiness_build_tavern_text		Build a Tavern	Побудувати таверну
quest_happiness_create_flour_text		Create Flour	Створити борошно
quest_happiness_find_fix_text		Lift the Curse of Sadness	Зняти прокляття смутку
quest_happiness_get_2_happiness_text		Have 2 Happiness	Отримати 2 щастя
quest_happiness_have_1_unhappiness_text		Have 1 Sadness	Мати 1 печаль
quest_happiness_have_10_unhappiness_text		Have 10 Sadness	Мати 10 печалей
quest_happiness_have_5_unhappiness_text		Have 5 Sadness	Мати 5 печалей
quest_happiness_make_dough_text		Make Dough	Створити тісто
quest_open_death_intro_pack_text		Open the pack	Відкрити пакунок
quest_open_happiness_intro_pack_text		Open the pack	Відкрити пакунок
quest_open_pack_text		Open your first pack	Відкрити свій перший пакунок
questgroup_death_mainquest		Life and death	Життя і смерть
questgroup_death_misc		Death Misc	Смерть: Різне
questgroup_death_starter		The World of Death	Світ смерті
questgroup_discover_spirits		Meet the Shaman	Зустрічайте шамана
questgroup_greed_mainquest		Give me everything!	Дайте мені все!
questgroup_greed_misc		Items fit for a Royal	Предмети, що підходять Королю
questgroup_greed_starter		The World of Greed	Світ жадібності
questgroup_greed_thriving		Worthy Kingdom	Гідне королівство
questgroup_happiness_collecting		Fun Things	Веселі речі
questgroup_happiness_cooking		Good Food	Хороша їжа
questgroup_happiness_mainquest		Keep 'em happy	Тримайте їх щасливими
questgroup_happiness_starter		The World of Sadness	Світ смутку
questgroup_happiness_unhappy		So Sad	Так сумно
specialhit_anxious_long		[chance]% chance of making [target] anxious	[chance]% шанс викликати у [target] тривогу
statuseffect_angry_description		Angry Villagers will fight other Villagers	Розлючені селяни будуть битися з іншими селянами
statuseffect_angry_lore		Has been sad for too long	Задовго був сумним
statuseffect_angry_name		Angry	Злий
statuseffect_anxious_description		Decreases work speed a lot	Значно знижує швидкість роботи
statuseffect_anxious_lore		They feel ill at ease	Почувається ніяково
statuseffect_anxious_name		Anxious	Тривожність
statuseffect_demand_description		Demands new cards every few moons	Вимагає нових карт кожні кілька днів
statuseffect_demand_lore		Always wants more	Завжди хоче більше
statuseffect_demand_name		Greedy	Жадібність
statuseffect_sick_description		Does [damage] damage every [time]	Завдає [damage] шкоди кожні [time]
statuseffect_sick_lore		They're feeling ill.. There's too much Poop around!	Погано почувається. Навколо забагато лайна!
statuseffect_sick_name		Sick	Хворий
label_shaman_intro_demon		You defeated the demon, and got the idea for a Rowboat	Ви перемогли демона і отримали ідею гребного човна
label_shaman_intro_island		If you want to further develop your village, you can visit the Island.	Якщо ви хочете далі розвивати своє село, ви можете відвідати острів.
label_beta_thanks		Thanks!	Дякую!
label_beta_text		Thanks for helping us playtest the Cursed Worlds DLC!##If you want to jump right in to the new content, you can select Continue Run and start just after the demon was defeated. You can also start a brand new run by selecting Start New Run.##If you want to continue using an old save, copy it over to:#[saveDirectory]###Have fun! If you run into any issues, please let us know in the Stacklands Playtesters Discord!	Дякуємо, що допомагаєте нам тестувати DLC «Cursed Worlds»!##Якщо ви хочете одразу перейти до нового вмісту, ви можете вибрати «Продовжити забіг» та почати одразу після перемоги над демоном. Ви також можете розпочати новий забіг, вибравши «Почати новий забіг».##Якщо ви хочете продовжити використання старого збереження, скопіюйте його до:#[saveDirectory]###Розважайтеся! Якщо у вас виникнуть проблеми, повідомте нас у Stacklands Playtesters Discord!
label_shaman_intro_cursed		If you want to learn more about visiting the Cursed Worlds you can talk to me	Якщо ви хочете дізнатися більше про відвідування проклятих світів, ви можете поговорити зі мною
label_shaman_intro_title		The Shaman	Шаман
card_cursed_wand_name		Cursed Wand	Проклята паличка
card_cursed_wand_description		It uses dark magic	Використовує темну магію
label_demand_coins_text		I want to buy some nice items! Get me [amount] Coins before the end of the moon [monthFinished]	Я хочу купити гарні речі! Дайте мені [amount] монет до кінця дня [monthFinished]
label_demand_garden_text		We are running low on food and I want my servants to make me more. Build a Garden for me before the end of the moon [monthFinished]	Нам не вистачає їжі, і я хочу, щоб мої слуги приготували мені більше. Побудуйте для мене сад до кінця дня [monthFinished]
label_demand_olives_text		I would like to eat something... exotic. Fetch me [amount] Olives before the end of the moon [monthFinished]	Я хотів би з'їсти щось... екзотичне. Принеси мені [amount] оливки до кінця дня [monthFinished]
label_demand_beer_text		I will be having guests over at the end of the moon [monthFinished]. Get me [amount] Beers before then	Я буду приймати гостей наприкінці дня [monthFinished]. Принесіть мені [amount] пива раніше
label_demand_fancy_dress_text		I want to impress a lady that I fancy. Get me a Fancy Dress before the end of the moon [monthFinished]	Я хочу справити враження на жінку, яка мені подобається. Придбайте мені нарядну сукню до кінця дня [monthFinished]
label_demand_royal_banquet_text		It's my birthday in a few moons and I want a big feast! Get me a Royal Banquet before the end of the moon [monthFinished]	За кілька днів мій день народження, і я хочу великого свята! Влаштуйте мені королівський бенкет до кінця дня [monthFinished]
label_demand_wool_socks_text		My feet are cold! Get me some Purple Socks before the end of the moon [monthFinished]	Мої ноги мерзнуть! Принесіть мені фіолетові шкарпетки до кінця дня [monthFinished]
label_demand_wine_text		The wine cellar is empty! Get me 2 bottles of wine before the end of the moon [monthFinished]	Винний льох порожній! Принесіть мені 2 пляшки вина до кінця дня [monthFinished]
label_demand_painting_text		My house isn't classy enough. Get me a Painting before the end of the moon [monthFinished]	Мій будинок недостатньо стильний. Принесіть мені картину до кінця дня [monthFinished]
label_missing_cards_more_text		and [amount] more	і [amount] більше
label_animal_die		Some Animals passed away	Деякі тварини померли
specialhit_sick_long		[chance]% chance to make [target] Sick	[chance]% шанс зробити [target] хворим
card_well_name		Well	Колодязь
card_well_description		An infinite source of Water	Нескінченне джерело води
card_well_status_0		Building a Well	Будівництво колодязя
card_well_status_1		Getting Water	Отримання води
label_disable_paused_text		Flashing Paused: [on_off]	«Пауза» блимає: [on_off]
label_placeholder_search	Shown in search fields where players can input text	Search	Пошук
label_conflict_very_effective		Very effective	Дуже ефективний
cutscene_happiness_food_text_0		You sold some Food...	Ви продали трохи їжі...
cutscene_happiness_food_text_1		Sadness appears if you sell Food that Villagers can eat	Печаль з'являється, якщо ви продаєте їжу, яку можуть їсти жителі села
label_altar_cutscene_mainland		You have already finished this Spirit World. Do you want to restart the Spirit World or summon its Curse here?	Ви вже закінчили цей світ духів. Ви хочете перезапустити світ духів чи викликати його прокляття тут?
label_altar_run_board		Summon [curse]	Викликати [curse]
label_altar_run_redo		Restart Spirit World	Перезавантажити світ духів
board_island_name		Island	Острів
board_main_name		Mainland	Материк
board_forest_name		Forest	Ліс
board_greed_name		Greed	Жадібність
board_death_name		Death	Смерть
board_happiness_name		Happiness	Щастя
label_altar_cutscene_good_luck		You summoned the Curse, good luck!	Ви викликали прокляття, удачі!
cutscene_happiness_middle_text_0		You're doing a great job at keeping the village happy. We might be able to lift the Curse if you collect more!	Ви робите чудову роботу, щоб зберегти село щасливим. Можливо, ми зможемо зняти прокляття, якщо ви зберете більше!
label_name_villager_title		Name this Card	Назвіть цю картку
credits_Tumult		Cursed Worlds - sound effects	Прокляті світи - звукові ефекти
label_spirit_outro_0_greed		You lifted the Curse of Greed!	Ви зняли прокляття жадібності!
label_spirit_outro_0_death		You lifted the Curse of Death!	Ти зняв прокляття смерті!
label_spirit_outro_0_happiness		You lifted the Curse of Sadness!	Ви зняли прокляття смутку!
card_sad_event_description		Creates 1 Sadness for every 2 Villagers	Створює 1 печаль за кожних 2 селян
card_sad_event_name		Sad Event	Сумна подія
label_sad_event_appeared		Something sad is about to happen!	Ось-ось станеться щось сумне!
label_greed_demand_failed_fight_peaceful		I'll have to teach you a lesson... I'll take your Coins!!	Мені доведеться провчити вас... Я візьму ваші монети!!
label_shaman_intro_peaceful		You combined the Temple and Golden Goblet and got the idea for a Rowboat	Ви поєднали храм і золотий келих і отримали ідею гребного човна
card_archer_name_young		Young Archer	Молодий лучник
card_archer_name_old		Old Archer	Старий лучник
card_builder_name_young		Young Builder	Молодий будівельник
card_builder_name_old		Old Builder	Старий будівельник
card_lumberjack_name_young		Young Lumberjack	Молодий лісоруб
card_lumberjack_name_old		Old Lumberjack	Старий лісоруб
card_mage_name_young		Young Mage	Молодий маг
card_mage_name_old		Old Mage	Старий маг
card_miner_name_young		Young Miner	Молодий шахтар
card_miner_name_old		Old Miner	Старий шахтар
card_ninja_name_young		Young Ninja	Молодий нінджя
card_ninja_name_old		Old Ninja	Старий нінджя
card_warrior_name_young		Young Warrior	Молодий воїн
card_warrior_name_old		Old Warrior	Старий воїн
card_wizard_name_young		Young Wizard	Молодий чарівник
card_wizard_name_old		Old Wizard	Старий чарівник
card_explorer_name_young		Young Explorer	Молодий дослідник
card_explorer_name_old		Old Explorer	Старий дослідник
card_militia_name_young		Young Militia	Молодий міліціонер
card_militia_name_old		Old Militia	Старий міліціонер
card_swordsman_name_young		Young Swordsman	Молодий мечник
card_swordsman_name_old		Old Swordsman	Старий мечник
card_fisher_name_young		Young Fisher	Молодий рибалка
card_fisher_name_old		Old Fisher	Старий рибалка
card_friendly_pirate_name_young		Young Friendly Pirate	Молодий дружній пірат
card_friendly_pirate_name_old		Old Friendly Pirate	Старий дружній пірат
card_trained_monkey_name_young		Young Trained Monkey	Молода дресована мавпа
card_trained_monkey_name_old		Old Trained Monkey	Стара дресована мавпа
card_jester_name_young		Young Jester	Молодий блазень
card_jester_name_old		Old Jester	Старий блазень
label_youtube_dlc_title		Cursed Worlds - early access	Прокляті світи (дочасний доступ)
label_youtube_dlc_text		This is a special early access build of the Stacklands Cursed Worlds DLC!##You can quickly get access to the new content by using our pre-made save game. This save game starts just after beating the game's first boss.##It's also possible to continue normally from where your current save is.##If you want to start from scratch, clear your save data from the settings menu.	Це спеціальна збірка раннього доступу до Stacklands Cursed Worlds DLC!##Ви можете швидко отримати доступ до нового вмісту за допомогою нашої попередньо створеної гри-збереження. Ця гра збереження починається відразу після перемоги над першим босом гри.##Також можна продовжити звичайним способом з поточного збереження.##Якщо ви хочете почати з нуля, очистіть дані збереження в меню налаштувань.
label_load_run		Use the pre-made save game	Використовуйте попередньо створене збереження гри
label_exit		Continue normally	Продовжуйте нормально
card_chicken_name_old		Old Chicken	Стара курка
card_cow_name_old		Old Cow	Стара корова
card_crab_name_old		Old Crab	Старий краб
card_horse_name_old		Old Horse	Старий кінь
card_monkey_name_old		Old Monkey	Стара мавпа
card_parrot_name_old		Old Parrot	Старий папуга
card_rabbit_name_old		Old Rabbit	Старий кролик
card_sheep_name_old		Old Sheep	Стара вівця
cutscene_death_middle_text_3		You did not get a new Villager in time...	Ви не отримали нового селянина вчасно...
cutscene_death_middle_text_4		Unfortunately, that means this village is doomed to come to an end..	На жаль, це означає, що це село приречене на кінець..
label_greed_given	This is shown under the royal's demand to indicate how many were already given, e.g. 15 given	[given] given	[given] дано
credits_betatesting		Beta testing	Бета-тестування
quest_happiness_read_book_text		Read a Book	Прочитати книгу
label_music		Music	Музика
label_click_this_pack		Open this Pack to get Cards!	Клацніть на пакунок, щоб отримати карти!
card_coin_chest_description_long		A chest that can hold Coins. Interact to remove Coins. Contains [count]/[max_count][goldicon]	Скриня, що може зберігати монети. Натисніть, щоб вийняти монети. Містить [count]/[max_count][goldicon]
card_shell_chest_description_long		A chest that can hold Shells. Interact to remove Shells. Contains [count]/[max_count][shellicon]	Скриня, яка може зберігати мушлі. Взаємодійте, щоб викинути мушлі. Містить [count]/[max_count][shellicon]
label_toggle_inventory		Interact to toggle the inventory	Взаємодійте, щоб перемикати інвентар
label_magic_description		Magic is strong against Ranged, but weak against Melee	Магія сильна проти дальнього бою, але слабка проти ближнього бою
label_melee_description		Melee is strong against Magic but weak against Ranged	Рукопашний бій сильний проти магії, але слабкий проти дальньої дії
label_ranged_description		Ranged is strong against Melee, but weak against Magic	Дальність сильна проти ближнього бою, але слабка проти магії
label_different_mods		This save file uses different mods than the currently loaded one. The game has to be restarted to fully reload the mods.	Цей файл збереження використовує модифікації, відмінні від поточного завантаженого. Щоб повністю перезавантажити моди, гру необхідно перезапустити.
label_debug_need_villagers		Need Villagers: [on_off]	Потрібні селяни: [on_off]
label_restart_required		Restart Required	Потрібен перезапуск
label_restart 		Restart	Перезапустити
