Term	Notes	English	Dutch	French	Italian	German	Spanish	Brazilian Portuguese	Polish	Chinese (Simplified)	Chinese (Traditional)	Japanese	Korean
card_onion_description		Can be eaten raw or can be cooked, whichever you prefer	Kan rauw gegeten worden, maar ook gekookt	Peut être dégusté cru ou cuit, mais attention aux larmes	Può essere mangiata cruda o cotta, a seconda dei gusti.	Kann roh oder gekocht gegessen werden – was dir besser schmeckt	Se puede comer cruda o cocinada.	Pode ser consumida crua ou cozida, como preferir.	Do jedzenia na surowo albo po ugotowaniu. Jak wolisz	可以生吃，也可以煮熟吃，随你喜欢	可以生吃或煮來吃，看你喜歡哪種	生も良し。調理しても良し。お好みで	생으로 먹을 수도 있고 익혀서 먹을 수도 있음
card_onion_name		Onion	Ui	Oignon	Cipolla	Zwiebel	Cebolla	Cebola	Cebula	洋葱	洋蔥	タマネギ	양파
card_plains_description		The great outdoors	De buitenwereld	Vastes étendues	I grandi spazi aperti.	Die freie Natur	Un maravilloso entorno natural.	Até onde o olhar alcança.	Nie ma jak przestrzeń	非常适合户外活动	空曠原野	青々としていて気持ちいい	광활한 야외 장소
card_plains_name		Plains	Vlakte	Plaines	Pianura	Ebenen	Planicie	Planícies	Równiny	平原	草原	草原	평원
card_plains_status		Exploring Plains	Vlakte aan 't verkennen	Exploration des Plaines	Sto esplorando la Pianura	Ebenen erkunden	Explorando planicie	Explorando as Planícies	Odkrywa Równiny	探索平原	正在探索草原	草原を探索する	평원 탐험 중
card_plank_description		A strong building material	Sterk bouwmateriaal	Matériau de construction résistant	Un robusto materiale da costruzione.	Stabiles Baumaterial	Material de construcción resistente.	Um material de construção resistente.	Porządny materiał budowlany	坚固的建筑材料	堅固的建材	丈夫な建材	튼튼한 건축자재
card_plank_name		Plank	Plank	Planche	Asse	Brett	Tabla	Tábua	Deska	木板	木板	厚板	판자
card_poop_description		It looks stinky	Het ziet er uit alsof 't stinkt	Ça sent pas bon	Sembra puzzolente.	Sieht stinkig aus	Qué peste.	Fede pra dedéu.	Pewnie strasznie śmierdzi	它看上去很臭	看起來很臭	臭そうだ	안 좋은 냄새가 남
card_poop_name		Poop	Poep	Étron	Cacca	Köttel	Excremento	Cocô	Kupa	粪便	糞便	ウンチ	똥
card_potato_description		Smooth and starchy, but should be cooked first	Vol zetmeel, maar moet eerst gekookt worden	Riche en amidon, mais doit être cuite avant d'être consommée	Liscia e amidacea, ma prima deve essere cotta.	Weich und mehlig, sollte aber erst gekocht werden	Suave y almidonada, pero es necesario cocinarla para comerla.	Macia e rica em amido. Deve ser cozida primeiro.	Pyszny i pełny skrobi, ale najpierw go ugotuj	光滑且多淀粉，但应该先煮熟	滑順的澱粉食物，但要先煮過	調理したらホクホクになりそうだ	부드러운 탄수화물 덩어리이지만 먼저 익혀야 함
card_potato_name		Potato	Aardappel	Pomme de terre	Patata	Kartoffel	Patata	Batata	Ziemniak	土豆	馬鈴薯	ジャガイモ	감자
card_quarry_description		An unlimited resource of Stone	Een onbeperkte bron van Steen	Ressource illimitée en Pierre	Una fonte illimitata di pietra.	Ein unbegrenztes Steinvorkommen	Un recurso ilimitado de piedra.	Uma fonte ilimitada de Pedra.	Źródło nieskończonego Kamienia	无限的石头资源	無限的石頭資源	石を無尽蔵に入手できる	석재를 무한으로 공급받는 곳
card_quarry_name		Quarry	Steengroeve	Carrière	Cava	Steinbruch	Cantera	Pedreira	Kamieniołom	采石场	採石場	採石場	채석장
card_quarry_status		Mining in Quarry	Aan 't werk in de Steengroeve	Exploitation de la Carrière	Sto esplorando la Cava	Im Steinbruch abbauen	Excavando en cantera	Minerando na Pedreira	Kopie w Kamieniołomie	在采石场开采	在採石場採礦	採石場で採掘する	채석장 채굴 중
card_rabbit_description		Fluffy poop machine	Pluizige poepfabriek	Boule de poils toute douce	Soffice macchina da cacca.	Kuscheliger Köttelproduzent	Peludita máquina de hacer caca.	Máquina felpudinha de fazer cocô.	Maszyna do produkcji kupy	毛茸茸的粪便机器	毛茸茸的糞便製造機	ピョンピョン飛び跳ねるウンチ製造マシーン	똥을 마구 생산해내는 푹신푹신한 존재
card_rabbit_name		Rabbit	Konijn	Lapin	Coniglio	Kaninchen	Conejo	Coelho	Królik	兔子	兔子	ウサギ	토끼
card_rat_description		Small version of a Giant Rat	Kleine versie van de Gigantische rat	Comme le Gros rat, mais en plus petit	Versione piccola di un Ratto gigante.	Kleine Version einer Riesenratte	Versión más pequeña de la rata gigante.	Versão miniatura do Rato Gigante.	Mała wersja Gigantycznego Szczura	巨鼠的小版本	巨鼠的縮小版	ジャイアント ラットの小さいやつだ	거대 쥐의 작은 버전
card_rat_name		Rat	Rat	Rat	Ratto	Ratte	Rata	Rato	Szczur	老鼠	老鼠	ネズミ	일반 쥐
card_raw_meat_description		Should be cooked first	Moet eerst gebakken worden	Doit être cuite avant d'être consommée	Prima deve essere cotta.	Sollte zuerst gekocht werden	Es necesario cocinarla para comerla.	Deve ser assada primeiro.	Najpierw je ugotuj	应该先煮熟	要先煮過	調理しないと食べれない	먼저 익혀야 함
card_raw_meat_name		Raw Meat	Rauw vlees	Viande crue	Carne cruda	Rohes Fleisch	Carne cruda	Carne Crua	Surowe Mięso	生肉	生肉	生肉	생고기
card_rock_description		It looks sturdy, yet punchable	Stevig, maar kan geslagen worden	Solide, mais friable	Sembra robusta, ma può essere colpita.	Sieht stabil, aber bearbeitbar aus	Parece robusta, pero se puede golpear.	Parece rígida, mas esmurrável.	Wygląda solidnie, ale można w nią walić	它看上去很结实，但可以加工	看起來很堅硬，但打得破	頑丈に見えるが、壊せなくもない	튼튼해보이지만 채취 가능
card_rock_name		Rock	Rots	Rocher	Roccia	Fels	Roca	Rocha	Skała	岩石	岩石	岩	바위
card_rock_status		Punching Rock	Rots aan 't slaan	Exploitation du Rocher	Sto colpendo la Roccia	Fels schlagen	Golpeando roca	Esmurrando a Rocha	Wali w Skałę	击打岩石	正在用力敲打岩石	岩を叩く	바위 채취 중
card_sawmill_description		Quickly turns Wood into Planks	Verandert Hout snel in Planken	Permet de transformer rapidement du Bois en Planches	Trasforma velocemente il Legno in Assi.	Macht aus Holz schnell Bretter	Procesa madera para obtener tablas.	Transforma rapidamente Madeira em Tábuas.	Sprawnie przerabia Drewno na Deski	快速将木材变成木板	快速將木材變成木板	短時間で材木を厚板に加工できる	목재를 판자로 빠르게 교환
card_sawmill_name		Sawmill	Zagerij	Scierie	Segheria	Sägewerk	Aserradero	Serraria	Tartak	锯木厂	鋸木廠	製材所	제재소
card_shed_description		Increases your Card Cap by 4	Verhoogt je kaartlimiet met 4	Permet de conserver 4 cartes de plus	Aumenta di 4 il tuo limite di Carte.	Erhöht dein Kartenlimit um 4	Aumenta en 4 tu límite de cartas.	Aumenta o Limite de Cartas em 4.	Zwiększa Limit kart o 4	卡牌容量增加4	卡牌數量上限增加4張	カードの上限を4枚増やす	카드 한도 4장 증가
card_shed_name		Shed	Schuur	Cabanon	Capanno	Hütte	Cobertizo	Galpão	Szopa	棚屋	小屋	納屋	헛간
card_skeleton_description		A monster consisting of a set of bones	Een monster dat uit een heleboel Botten bestaat	Un monstre tout en os	Un mostro costituito da un insieme di ossa.	Ein Monster, das aus einem Haufen Knochen besteht	Un monstruo formado por huesos.	Monstro formado por um conjunto de ossos.	Litości, to potwór z kości	由一堆骨头组成的怪物	由一組骨頭組成的怪物	骨のモンスター	일련의 뼈로 구성된 괴물
card_skeleton_name		Skeleton	Skelet	Squelette	Scheletro	Skelett	Esqueleto	Esqueleto	Szkielet	骷髅	骷髏	スケルトン	스켈레톤
card_slime_description		3 small slimes in a trench coat	3 kleine slijmpjes in een regenjas	3 boules de slime dans un imper	3 melmine in un impermeabile.	3 kleine Schleimis in einem Trenchcoat	Tres pequeños limos en uno.	3 gosminhas vestindo um casaco.	3 Małe Szlamy w płaszczu	3个穿着一件大衣的小史莱姆	套著風衣的3個小隻史萊姆	トレンチコートを着た小さなスライム3匹	트렌치 코트에 작은 슬라임 3개
card_slime_name		Slime	Slijm	Slime	Melma	Schleimi	Limo	Gosma	Szlam	史莱姆	史萊姆	スライム	슬라임
card_small_slime_description		A goodie-filled goo	Smurrie met spullies	Matière visqueuse pleine de surprises	Una poltiglia piena di delizie.	Mit Goodies gefüllter Schleim	Sustancia viscosa que alberga objetos.	Meleca repleta de coisas boas.	Glut pełen fantów	内部充满东西的粘液	滿是好東西的黏稠體	ベトベト、ネバネバ	점액질 상태의 끈적이는 생명체
card_small_slime_name		Small Slime	Kleine Slijm	Boule de slime	Melmina	Kleiner Schleimi	Limo pequeño	Gosminha	Mały Szlam	小史莱姆	小隻史萊姆	小さなスライム	작은 슬라임
card_soil_description		A simple and slow way of growing Food	Een simpele en langzame manier om voedsel te laten groeien	Permet de cultiver lentement mais sûrement de la Nourriture	Un modo semplice e lento di coltivare il Cibo.	Ein einfacher und langsamer Weg, Nahrung anzubauen	Una forma sencilla y lenta de cultivar vegetales.	Maneira simples e lenta de cultivar Comida.	Prosty (i wolny) sposób na uprawę Jedzenia	一种简单而缓慢的种植食物的方法	種植食物的簡單緩慢方式	時間はかかるが作物を育てる簡単な方法	간단하지만 느리게 식량을 만드는 방법
card_soil_name		Soil	Aarde	Lopin de terre	Terreno	Erdboden	Tierra	Terra	Ziemia	土壤	土壤	土壌	토양
card_spear_description		Stick with a pointy end	Stok met een punt	Bâton avec un bout pointu	Un bastone con un'estremità appuntita.	Stock mit spitzem Ende	Palo con un extremo puntiagudo.	Galho com a ponta afiada.	Patyk z ostrym czubkiem	用尖头刺出	有尖端的棍子	先がとんがった棒	끝이 뾰족한 막대
card_spear_name		Spear	Speer	Lance	Lancia	Speer	Lanza	Lança	Włócznia	矛	矛	槍	창
card_stew_description		A hearty meal	Een stevige maaltijd	Repas consistant	Un pasto abbondante.	Herzhafte Mahlzeit	Una comida abundante.	Uma refeição completa.	Solidny posiłek	丰盛的一餐	營養豐富的餐點	ボリューム満点	푸짐한 식사
card_stew_name		Stew	Stoofpot	Ragoût	Stufato	Eintopf	Estofado	Ensopado	Gulasz	炖肉	燉菜	シチュー	스튜
card_stick_description		Used to be part of a Tree	Oud onderdeel van een Boom	Tombé d'un Arbre	Faceva parte di un albero.	War einmal Teil eines Baumes	Una pequeña parte de un árbol.	Costumava ser parte de uma Árvore.	Kiedyś był Drzewem. Smutne	曾经是树的一部分	本來是樹的一部分	どうやら木の一部だったらしい	나무의 일부
card_stick_name		Stick	Stok	Bâton	Bastone	Stock	Palo	Galho	Patyk	木棍	樹枝	棒	가지
card_stone_description		A simple resource	Een simpele grondstof	Ressource ordinaire	Una semplice risorsa.	Einfache Ressource	Un recurso sencillo.	Recurso simples.	Prosty zasób	一种简单的资源	簡單的原料	シンプルな材料	흔히 볼 수 있는 자원
card_stone_name		Stone	Steen	Pierre	Pietra	Stein	Piedra	Pedra	Kamień	石头	石頭	石	석재
card_stove_description		Cooks faster than a Campfire	Hierop kook je sneller dan op een Kampvuur	Permet de cuire plus rapidement que le Feu de camp	Cuoce più velocemente di un Falò.	Kocht schneller als ein Lagerfeuer	Cocina más rápido que una hoguera.	Cozinha mais rápido do que uma Fogueira.	Gotuje szybciej niż Ognisko	做饭比篝火还快	煮得比營火快	キャンプファイアより早く調理できる	모닥불보다 더 빠르게 요리 가능
card_stove_name		Stove	Fornuis	Fourneau	Fornello	Herd	Fogón	Forno	Kuchnia	炉子	爐子	竈	스토브
card_sword_description		An Iron Bar with a pointy end	Een IJzerstaaf met een scherpe punt	Lingot de fer avec un bout pointu	Una Sbarra di ferro con un'estremità appuntita.	Eisenstange mit einem spitzen Ende	Una barra de hierro con un extremo puntiagudo.	Barra de Ferro com a ponta afiada.	Zasadniczo zaostrzona Sztabka	有尖头的铁条	有尖端的鐵棒	先がとんがった鉄の棒	끝이 뾰족한 철로된 봉
card_sword_name		Sword	Zwaard	Épée	Spada	Schwert	Espada	Espada	Miecz	剑	劍	剣	검
card_swordsman_name		Swordsman	Zwaardvechter	Épéiste	Spadaccino	Schwertkämpfer	Espadachín	Espadachim	Szermierz	剑客	劍士	剣士	검사
card_temple_description		An important place of worship. It needs a mysterious artifact.	Een bedeplaats. Het heeft een mysterieus object nodig.	Lieu de culte sacré qui a besoin d'un mystérieux artefact	Un importante luogo di culto, ha bisogno di un misterioso manufatto.	Wichtiger Ort der Anbetung. Benötigt ein mysteriöses Artefakt	Un lugar de culto esencial. Necesita un objeto misterioso.	Local importante de veneração. Necessita de um artefato misterioso.	Ważne miejsce kultu. Wymaga tajemniczego artefaktu	一个重要的礼拜场所。它需要一个神秘的神器。	信仰的重要之地。需要神秘的工藝品。	重要な礼拝所だ。どうやら謎の遺物が必要だ	중요한 예배 장소. 신비한 아티팩트가 필요하다.
card_temple_name		Temple	Tempel	Temple	Tempio	Tempel	Templo	Templo	Świątynia	神殿	神殿	神殿	사원
card_travelling_cart_description		Give me 5 Coins and I'll give you a Card!	Geef me 5 Munten en ik geef je een Kaart!	Je te vends 1 carte pour 5 pièces !	Dammi 5 Monete e ti darò una Carta!	„Gib mir 5 Münzen und ich gebe dir eine Karte!“	¡Dame 5 monedas y te daré una carta!.	Me dê 5 Moedas, que eu lhe darei uma Carta!	„Daj mi 5 Monet, a dostaniesz Kartę!”	“给我5枚硬币，我会给你一张卡！”	「給我5個金幣，我就給你一張卡牌！」	「コイン5枚でカードと交換だ！」	코인 5개를 주시면 카드를 드립니다!
card_travelling_cart_name		Travelling Cart	Karavan	Marchand ambulant	Mercante itinerante	Fahrender Händler	Carro itinerante	Carroça de Mascate	Obwoźny Sprzedawca	旅行推车	旅行貨車	旅商人	여행 카트
card_treasure_chest_description		It's locked	Hij zit op slot	Il est fermé	È chiuso.	Sie ist verschlossen	Está cerrado.	Está trancado.	Zamknięta	它锁上了	上鎖了	鍵がかかっている	잠겨있음
card_treasure_chest_name		Treasure Chest	Schatkist	Coffre au trésor	Baule del tesoro	Schatztruhe	Cofre del tesoro	Baú de Tesouro	Skrzynia Ze Skarbem	宝箱	寶箱	宝箱	보물 상자
card_tree_description		Made of Wood and Sticks	Gemaakt van Hout en Stokken	Agrégat de Bois et de Bâtons	Composto da Legno e Bastoni.	Besteht aus Holz und Ästen	Hecho de madera y palos.	Feita de Madeira e Galhos.	Zrobione Drewna i Patyków	用木材和木棍做成的	由木材與樹枝組成	材木と棒でできている	목재와 가지로 이루어져 있음
card_tree_name		Tree	Boom	Arbre	Albero	Baum	Árbol	Árvore	Drzewo	树	樹	木	나무
card_tree_status		Punching Tree	Boom aan 't slaan	Bûcheronnage de l'Arbre	Sto colpendo l'Albero	Baum schlagen	Golpeando árbol	Esmurrando a Árvore	Wali w Drzewo	击打树	正在用力敲打樹	樹を揺さぶる	나무 채취 중
card_villager_description		A hard-working pioneer	Een hardwerkende pionier	Travailleur acharné	Un pioniere laborioso.	Hart arbeitender Pionier	Un pionero trabajador.	Um pioneiro esforçado.	Pracowity osadnik	一个勤劳的先驱	辛苦工作的拓荒者	勤勉な開拓者	성실한 개척자
card_villager_name		Villager	Dorpeling	Villageois	Abitante	Dorfbewohner	Aldeano	Aldeão	Wieśniak	村民	村民	村人	주민
card_warehouse_description		Increases your Card Cap by 14	Verhoogt je kaartlimiet met 14	Permet de conserver 14 cartes de plus	Aumenta di 14 il tuo limite di Carte.	Erhöht dein Kartenlimit um 14	Aumenta en 14 tu límite de cartas.	Aumenta o Limite de Cartas em 14.	Zwiększa Limit kart o 14	卡牌容量增加14	卡牌數量上限增加14張	カードの上限を14枚増やす	카드 한도 14장 증가
